                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.2917,                0.58843,                 1.0776,                0.85519,                0.80989,                0.83524,                0.32981,                 2.1786,                 0.7854,                 1.7638,             9.7947e-05,             9.7947e-05,             9.7947e-05
                     94,                 1.3036,                0.57205,                 1.0769,                0.84943,                0.78615,                0.81743,                0.31884,                 2.1773,                0.81324,                 1.7158,             9.7902e-05,             9.7902e-05,             9.7902e-05
                     95,                 1.2965,                0.57069,                 1.0826,                0.82357,                0.80041,                0.81838,                0.32613,                 2.1912,                0.79425,                 1.7314,             9.7857e-05,             9.7857e-05,             9.7857e-05
                     96,                 1.2731,                 0.5668,                  1.071,                0.83022,                0.80671,                0.82576,                0.33084,                 2.1675,                0.79123,                 1.7032,             9.7812e-05,             9.7812e-05,             9.7812e-05
                     97,                 1.2557,                 0.5591,                 1.0677,                0.83019,                0.81874,                0.82404,                0.32861,                 2.1679,                0.78346,                 1.7324,             9.7766e-05,             9.7766e-05,             9.7766e-05
                     98,                 1.2833,                0.57422,                 1.0687,                0.84375,                 0.8065,                0.82065,                0.32767,                 2.1769,                0.80714,                 1.7335,             9.7719e-05,             9.7719e-05,             9.7719e-05
                     99,                 1.2893,                0.56782,                 1.0702,                0.83293,                0.80041,                0.81247,                 0.3139,                 2.2138,                0.79256,                 1.7675,             9.7672e-05,             9.7672e-05,             9.7672e-05
                    100,                 1.2425,                0.56069,                 1.0555,                0.82222,                 0.8072,                0.80369,                0.31111,                 2.2151,                0.79347,                 1.8146,             9.7625e-05,             9.7625e-05,             9.7625e-05
                    101,                 1.2468,                 0.5581,                 1.0632,                0.84209,                0.81466,                0.81253,                0.32343,                    2.2,                 0.7728,                 1.7887,             9.7577e-05,             9.7577e-05,             9.7577e-05
                    102,                 1.2315,                0.56246,                 1.0567,                0.84095,                0.79905,                0.82063,                0.32725,                 2.1841,                0.78421,                 1.7831,             9.7529e-05,             9.7529e-05,             9.7529e-05
                    103,                 1.2276,                0.55055,                   1.06,                 0.8537,                 0.7943,                0.81423,                0.33227,                 2.1818,                0.78458,                  1.787,              9.748e-05,              9.748e-05,              9.748e-05
                    104,                 1.2408,                0.55533,                 1.0478,                0.85306,                0.78823,                 0.8198,                0.33079,                 2.1877,                0.78699,                 1.7534,             9.7431e-05,             9.7431e-05,             9.7431e-05
                    105,                 1.2383,                0.55679,                 1.0541,                0.85034,                 0.7814,                0.80713,                0.31585,                 2.1938,                0.78209,                 1.7995,             9.7381e-05,             9.7381e-05,             9.7381e-05
                    106,                 1.2492,                0.55307,                 1.0538,                0.84605,                0.79362,                0.81877,                 0.3268,                 2.1958,                0.79799,                 1.7635,             9.7331e-05,             9.7331e-05,             9.7331e-05
                    107,                 1.2213,                0.54657,                 1.0478,                0.84925,                0.81081,                0.82097,                0.31962,                  2.191,                0.79162,                 1.7598,             9.7281e-05,             9.7281e-05,             9.7281e-05
                    108,                 1.2266,                0.55128,                 1.0468,                 0.8501,                0.79314,                0.80822,                0.32852,                 2.1782,                 0.7818,                 1.7533,              9.723e-05,              9.723e-05,              9.723e-05
                    109,                 1.1968,                0.54411,                 1.0451,                0.85246,                0.79566,                0.82175,                0.33265,                 2.1793,                0.76833,                   1.77,             9.7178e-05,             9.7178e-05,             9.7178e-05
                    110,                 1.2134,                0.55344,                 1.0518,                0.85915,                0.79294,                0.82433,                0.33185,                 2.1772,                0.78141,                 1.7753,             9.7126e-05,             9.7126e-05,             9.7126e-05
                    111,                 1.1987,                 0.5376,                 1.0407,                0.84083,                0.79362,                0.82142,                0.33309,                 2.1777,                0.77845,                 1.7793,             9.7074e-05,             9.7074e-05,             9.7074e-05
                    112,                 1.2044,                0.53746,                 1.0435,                0.84357,                0.78072,                0.81269,                0.32579,                 2.1911,                0.80118,                 1.7568,             9.7021e-05,             9.7021e-05,             9.7021e-05
                    113,                 1.1993,                0.53645,                 1.0307,                0.81851,                0.81059,                0.81172,                0.32798,                 2.1875,                0.77429,                 1.7461,             9.6967e-05,             9.6967e-05,             9.6967e-05
                    114,                 1.2006,                0.54231,                 1.0292,                 0.8237,                 0.8201,                0.80814,                 0.3193,                 2.1646,                0.78806,                 1.7507,             9.6914e-05,             9.6914e-05,             9.6914e-05
                    115,                 1.1964,                0.54148,                 1.0389,                0.84499,                0.80177,                0.81543,                0.32118,                 2.2087,                0.79283,                  1.785,             9.6859e-05,             9.6859e-05,             9.6859e-05
                    116,                 1.1819,                0.54261,                 1.0244,                0.82232,                0.80788,                0.81011,                0.31732,                 2.2302,                0.79654,                 1.7999,             9.6804e-05,             9.6804e-05,             9.6804e-05
                    117,                 1.1715,                0.53068,                 1.0256,                0.85154,                0.80992,                0.82177,                0.32336,                 2.2089,                0.79713,                 1.8168,             9.6749e-05,             9.6749e-05,             9.6749e-05
                    118,                  1.178,                 0.5258,                 1.0326,                0.82792,                0.80991,                0.81593,                0.32884,                 2.1927,                0.79158,                 1.7582,             9.6694e-05,             9.6694e-05,             9.6694e-05
                    119,                 1.1816,                0.53216,                  1.032,                0.83909,                0.80713,                0.82697,                0.32815,                 2.2059,                0.78328,                 1.7643,             9.6638e-05,             9.6638e-05,             9.6638e-05
                    120,                 1.1789,                0.53206,                 1.0286,                0.82677,                0.82145,                0.81684,                0.33225,                 2.1654,                0.75804,                 1.7751,             9.6581e-05,             9.6581e-05,             9.6581e-05
